Subject,Relation,Object
책,저술,저자
책,분류,장르
책,인용,책
책,서술 방법,매체
저자,저술,책
출판사,발간,책
장르,포함,책
저자,계약,출판사
출판사,계약,저자
출판사,전문,장르
